,Open,High,Low,Close
2024-01-01,100.0,100.0,100.0,100.0
2024-01-02,100.0,100.0,100.0,100.0
2024-01-03,100.0,100.0,100.0,100.0
2024-01-04,100.0,100.0,100.0,100.0
2024-01-05,100.0,100.0,100.0,100.0
2024-01-06,100.0,100.0,100.0,100.0
2024-01-07,100.0,100.0,100.0,100.0
2024-01-08,100.0,100.0,100.0,100.0
2024-01-09,100.0,100.0,100.0,100.0
2024-01-10,100.0,100.0,100.0,100.0
2024-01-11,100.0,100.0,100.0,100.0
2024-01-12,100.0,100.0,100.0,100.0
2024-01-13,100.0,100.0,100.0,100.0
2024-01-14,100.0,100.0,100.0,100.0
2024-01-15,100.0,100.0,100.0,100.0
2024-01-16,100.0,100.0,100.0,100.0
2024-01-17,100.0,100.0,100.0,100.0
2024-01-18,100.0,100.0,100.0,100.0
2024-01-19,100.0,100.0,100.0,100.0
2024-01-20,100.0,100.0,100.0,100.0
2024-01-21,100.0,100.0,100.0,100.0
2024-01-22,100.0,100.0,100.0,100.0
2024-01-23,100.0,100.0,100.0,100.0
2024-01-24,100.0,100.0,100.0,100.0
2024-01-25,100.0,100.0,100.0,100.0
2024-01-26,100.0,100.0,100.0,100.0
2024-01-27,100.0,100.0,100.0,100.0
2024-01-28,100.0,100.0,100.0,100.0
2024-01-29,100.0,100.0,100.0,100.0
2024-01-30,100.0,100.0,100.0,100.0
2024-01-31,100.0,100.0,100.0,100.0
2024-02-01,100.0,100.0,100.0,100.0
2024-02-02,100.0,100.0,100.0,100.0
2024-02-03,100.0,100.0,100.0,100.0
2024-02-04,100.0,100.0,100.0,100.0
2024-02-05,100.0,100.0,100.0,100.0
2024-02-06,100.0,100.0,100.0,100.0
2024-02-07,100.0,100.0,100.0,100.0
2024-02-08,100.0,100.0,100.0,100.0
2024-02-09,100.0,100.0,100.0,100.0
2024-02-10,100.0,100.0,100.0,100.0
2024-02-11,100.0,100.0,100.0,100.0
2024-02-12,100.0,100.0,100.0,100.0
2024-02-13,100.0,100.0,100.0,100.0
2024-02-14,100.0,100.0,100.0,100.0
2024-02-15,100.0,100.0,100.0,100.0
2024-02-16,100.0,100.0,100.0,100.0
2024-02-17,100.0,100.0,100.0,100.0
2024-02-18,100.0,100.0,100.0,100.0
2024-02-19,100.0,100.0,100.0,100.0
2024-02-20,100.0,100.0,100.0,100.0
2024-02-21,100.0,100.0,100.0,100.0
2024-02-22,100.0,100.0,100.0,100.0
2024-02-23,100.0,100.0,100.0,100.0
2024-02-24,100.0,100.0,100.0,100.0
2024-02-25,100.0,100.0,100.0,100.0
2024-02-26,100.0,100.0,100.0,100.0
2024-02-27,100.0,100.0,100.0,100.0
2024-02-28,100.0,100.0,100.0,100.0
2024-02-29,100.0,100.0,100.0,100.0
2024-03-01,100.0,100.0,100.0,100.0
2024-03-02,100.0,100.0,100.0,100.0
2024-03-03,100.0,100.0,100.0,100.0
2024-03-04,100.0,100.0,100.0,100.0
2024-03-05,100.0,100.0,100.0,100.0
2024-03-06,100.0,100.0,100.0,100.0
2024-03-07,100.0,100.0,100.0,100.0
2024-03-08,100.0,100.0,100.0,100.0
2024-03-09,100.0,100.0,100.0,100.0
2024-03-10,100.0,100.0,100.0,100.0
2024-03-11,100.0,100.0,100.0,100.0
2024-03-12,100.0,100.0,100.0,100.0
2024-03-13,100.0,100.0,100.0,100.0
2024-03-14,100.0,100.0,100.0,100.0
2024-03-15,100.0,100.0,100.0,100.0
2024-03-16,100.0,100.0,100.0,100.0
2024-03-17,100.0,100.0,100.0,100.0
2024-03-18,100.0,100.0,100.0,100.0
2024-03-19,100.0,100.0,100.0,100.0
2024-03-20,100.0,100.0,100.0,100.0
2024-03-21,100.0,100.0,100.0,100.0
2024-03-22,100.0,100.0,100.0,100.0
2024-03-23,100.0,100.0,100.0,100.0
2024-03-24,100.0,100.0,100.0,100.0
2024-03-25,100.0,100.0,100.0,100.0
2024-03-26,100.0,100.0,100.0,100.0
2024-03-27,100.0,100.0,100.0,100.0
2024-03-28,100.0,100.0,100.0,100.0
2024-03-29,100.0,100.0,100.0,100.0
2024-03-30,100.0,100.0,100.0,100.0
2024-03-31,100.0,100.0,100.0,100.0
2024-04-01,100.0,100.0,100.0,100.0
2024-04-02,100.0,100.0,100.0,100.0
2024-04-03,100.0,100.0,100.0,100.0
2024-04-04,100.0,100.0,100.0,100.0
2024-04-05,100.0,100.0,100.0,100.0
2024-04-06,100.0,100.0,100.0,100.0
2024-04-07,100.0,100.0,100.0,100.0
2024-04-08,100.0,100.0,100.0,100.0
2024-04-09,100.0,100.0,100.0,100.0
2024-04-10,100.0,100.0,100.0,100.0
2024-04-11,100.0,100.0,100.0,100.0
2024-04-12,100.0,100.0,100.0,100.0
2024-04-13,100.0,100.0,100.0,100.0
2024-04-14,100.0,100.0,100.0,100.0
2024-04-15,100.0,100.0,100.0,100.0
2024-04-16,100.0,100.0,100.0,100.0
2024-04-17,100.0,100.0,100.0,100.0
2024-04-18,100.0,100.0,100.0,100.0
2024-04-19,100.0,100.0,100.0,100.0
2024-04-20,100.0,100.0,100.0,100.0
2024-04-21,100.0,100.0,100.0,100.0
2024-04-22,100.0,100.0,100.0,100.0
2024-04-23,100.0,100.0,100.0,100.0
2024-04-24,100.0,100.0,100.0,100.0
2024-04-25,100.0,100.0,100.0,100.0
2024-04-26,100.0,100.0,100.0,100.0
2024-04-27,100.0,100.0,100.0,100.0
2024-04-28,100.0,100.0,100.0,100.0
2024-04-29,100.0,100.0,100.0,100.0
2024-04-30,100.0,100.0,100.0,100.0
2024-05-01,100.0,100.0,100.0,100.0
2024-05-02,100.0,100.0,100.0,100.0
2024-05-03,100.0,100.0,100.0,100.0
2024-05-04,100.0,100.0,100.0,100.0
2024-05-05,100.0,100.0,100.0,100.0
2024-05-06,100.0,100.0,100.0,100.0
2024-05-07,100.0,100.0,100.0,100.0
2024-05-08,100.0,100.0,100.0,100.0
2024-05-09,100.0,100.0,100.0,100.0
2024-05-10,100.0,100.0,100.0,100.0
2024-05-11,100.0,100.0,100.0,100.0
2024-05-12,100.0,100.0,100.0,100.0
2024-05-13,100.0,100.0,100.0,100.0
2024-05-14,100.0,100.0,100.0,100.0
2024-05-15,100.0,100.0,100.0,100.0
2024-05-16,100.0,100.0,100.0,100.0
2024-05-17,100.0,100.0,100.0,100.0
2024-05-18,100.0,100.0,100.0,100.0
2024-05-19,100.0,100.0,100.0,100.0
2024-05-20,100.0,100.0,100.0,100.0
2024-05-21,100.0,100.0,100.0,100.0
2024-05-22,100.0,100.0,100.0,100.0
2024-05-23,100.0,100.0,100.0,100.0
2024-05-24,100.0,100.0,100.0,100.0
2024-05-25,100.0,100.0,100.0,100.0
2024-05-26,100.0,100.0,100.0,100.0
2024-05-27,100.0,100.0,100.0,100.0
